sin^{2}(2\theta),|Delta m^{2}|,Likelihood
0.95,0.00256,2.31094
0.95,0.00257,2.62948
0.95,0.00258,2.96886
0.95,0.00259,3.3291
0.95,0.0026,3.7102
0.95,0.00261,4.11217
0.95,0.00262,4.53503
0.95,0.00263,4.97878
0.95,0.00264,5.44342
0.95,0.00265,5.92897
0.95,0.00266,6.43543
0.95,0.00267,6.95429
0.95,0.00268,7.49342
0.95,0.00269,8.05347
0.95,0.0027,8.63445
0.95,0.00271,9.23637
0.95,0.00272,9.85923
0.95,0.00273,10.503
0.95,0.00274,11.1678
0.95,0.00275,11.8535
0.95,0.00276,12.5601
0.95,0.00277,13.2877
0.95,0.00278,14.0363
0.95,0.00279,14.8059
0.95,0.0028,15.5964
0.955,0.002,15.4162
0.955,0.00201,14.6777
0.955,0.00202,13.9557
0.955,0.00203,13.2505
0.955,0.00204,12.5622
0.955,0.00205,11.891
0.955,0.00206,11.237
0.955,0.00207,10.6004
0.955,0.00208,9.98136
0.955,0.00209,9.37995
0.955,0.0021,8.79634
0.955,0.00211,8.23066
0.955,0.00212,7.68176
0.955,0.00213,7.15023
0.955,0.00214,6.63688
0.955,0.00215,6.14185
0.955,0.00216,5.66523
0.955,0.00217,5.20715
0.955,0.00218,4.76772
0.955,0.00219,4.34705
0.955,0.0022,3.94524
0.955,0.00221,3.56242
0.955,0.00222,3.19869
0.955,0.00223,2.85414
0.955,0.00224,2.52907
0.955,0.00225,2.22475
0.955,0.00226,1.9398
0.955,0.00227,1.67429
0.955,0.00228,1.42832
0.955,0.00229,1.20198
0.955,0.0023,0.995351
0.955,0.00231,0.808563
0.955,0.00232,0.641697
0.955,0.00233,0.494784
0.955,0.00234,0.3679
0.955,0.00235,0.26112
0.955,0.00236,0.174516
0.955,0.00237,0.108157
0.955,0.00238,0.0559807
0.955,0.00239,0.0232445
0.955,0.0024,0.0109867
0.955,0.00241,0.0192635
0.955,0.00242,0.0481283
0.955,0.00243,0.0976322
0.955,0.00244,0.167823
0.955,0.00245,0.258747
0.955,0.00246,0.370448
0.955,0.00247,0.502964
0.955,0.00248,0.656336
0.955,0.00249,0.830597
0.955,0.0025,1.02578
0.955,0.00251,1.24192
0.955,0.00252,1.47774
0.955,0.00253,1.73429
0.955,0.00254,2.01191
0.955,0.00255,2.3106
0.955,0.00256,2.63041
0.955,0.00257,2.97133
0.955,0.00258,3.3334
0.955,0.00259,3.71662
0.955,0.0026,4.121
0.955,0.00261,4.54655
0.955,0.00262,4.9933
0.955,0.00263,5.46123
0.955,0.00264,5.95037
0.955,0.00265,6.46071
0.955,0.00266,6.99226
0.955,0.00267,7.53632
0.955,0.00268,8.10094
0.955,0.00269,8.68679
0.955,0.0027,9.29389
0.955,0.00271,9.92224
0.955,0.00272,10.5718
0.955,0.00273,11.2427
0.955,0.00274,11.9349
0.955,0.00275,12.6483
0.955,0.00276,13.383
0.955,0.00277,14.1389
0.955,0.00278,14.9162
0.955,0.00279,15.7148
0.955,0.0028,16.5347
0.96,0.002,14.9584
0.96,0.00201,14.2269
0.96,0.00202,13.5122
0.96,0.00203,12.8146
0.96,0.00204,12.1342
0.96,0.00205,11.4711
0.96,0.00206,10.8255
0.96,0.00207,10.1975
0.96,0.00208,9.58736
0.96,0.00209,8.99514
0.96,0.0021,8.421
0.96,0.00211,7.86507
0.96,0.00212,7.32612
0.96,0.00213,6.8048
0.96,0.00214,6.30194
0.96,0.00215,5.81767
0.96,0.00216,5.35209
0.96,0.00217,4.90533
0.96,0.00218,4.4775
0.96,0.00219,4.06871
0.96,0.0022,3.67908
0.96,0.00221,3.30871
0.96,0.00222,2.95772
0.96,0.00223,2.62619
0.96,0.00224,2.31442
0.96,0.00225,2.02368
0.96,0.00226,1.75259
0.96,0.00227,1.50124
0.96,0.00228,1.26971
0.96,0.00229,1.0581
0.96,0.0023,0.866516
0.96,0.00231,0.695085
0.96,0.00232,0.54383
0.96,0.00233,0.412823
0.96,0.00234,0.302142
0.96,0.00235,0.211864
0.96,0.00236,0.142061
0.96,0.00237,0.0928046
0.96,0.00238,0.0579402
0.96,0.00239,0.042804
0.96,0.0024,0.0484494
0.96,0.00241,0.0749332
0.96,0.00242,0.12231
0.96,0.00243,0.19063
0.96,0.00244,0.279944
0.96,0.00245,0.390297
0.96,0.00246,0.521733
0.96,0.00247,0.674291
0.96,0.00248,0.848012
0.96,0.00249,1.04293
0.96,0.0025,1.25908
0.96,0.00251,1.49648
0.96,0.00252,1.75384
0.96,0.00253,2.03224
0.96,0.00254,2.332
0.96,0.00255,2.65315
0.96,0.00256,2.99572
0.96,0.00257,3.35971
0.96,0.00258,3.74515
0.96,0.00259,4.15206
0.96,0.0026,4.58043
0.96,0.00261,5.03029
0.96,0.00262,5.50164
0.96,0.00263,5.99449
0.96,0.00264,6.50885
0.96,0.00265,7.04472
0.96,0.00266,7.60212
0.96,0.00267,8.17214
0.96,0.00268,8.76301
0.96,0.00269,9.37545
0.96,0.0027,10.0094
0.96,0.00271,10.665
0.96,0.00272,11.3422
0.96,0.00273,12.0409
0.96,0.00274,12.7613
0.96,0.00275,13.5032
0.96,0.00276,14.2668
0.96,0.00277,15.052
0.96,0.00278,15.8589
0.96,0.00279,16.6873
0.96,0.0028,17.5374
0.965,0.002,14.5197
0.965,0.00201,13.7955
0.965,0.00202,13.0885
0.965,0.00203,12.3988
0.965,0.00204,11.7265
0.965,0.00205,11.0718
0.965,0.00206,10.435
0.965,0.00207,9.81601
0.965,0.00208,9.21514
0.965,0.00209,8.6325
0.965,0.0021,8.06821
0.965,0.00211,7.52242
0.965,0.00212,6.99382
0.965,0.00213,6.48311
0.965,0.00214,5.99115
0.965,0.00215,5.51805
0.965,0.00216,5.06393
0.965,0.00217,4.62892
0.965,0.00218,4.21313
0.965,0.00219,3.81667
0.965,0.0022,3.43966
0.965,0.00221,3.0822
0.965,0.00222,2.74441
0.965,0.00223,2.42637
0.965,0.00224,2.12839
0.965,0.00225,1.85172
0.965,0.00226,1.59498
0.965,0.00227,1.35828
0.965,0.00228,1.14169
0.965,0.00229,0.94533
0.965,0.0023,0.769341
0.965,0.00231,0.613758
0.965,0.00232,0.478645
0.965,0.00233,0.364085
0.965,0.00234,0.270155
0.965,0.00235,0.196933
0.965,0.00236,0.144494
0.965,0.00237,0.112909
0.965,0.00238,0.0959328
0.965,0.00239,0.09898
0.965,0.0024,0.12312
0.965,0.00241,0.16841
0.965,0.00242,0.234906
0.965,0.00243,0.322659
0.965,0.00244,0.431719
0.965,0.00245,0.562132
0.965,0.00246,0.713943
0.965,0.00247,0.887192
0.965,0.00248,1.08192
0.965,0.00249,1.29815
0.965,0.0025,1.53594
0.965,0.00251,1.79529
0.965,0.00252,2.07488
0.965,0.00253,2.37581
0.965,0.00254,2.69842
0.965,0.00255,3.04274
0.965,0.00256,3.40878
0.965,0.00257,3.79658
0.965,0.00258,4.20613
0.965,0.00259,4.63745
0.965,0.0026,5.09056
0.965,0.00261,5.56547
0.965,0.00262,6.06219
0.965,0.00263,6.58073
0.965,0.00264,7.1211
0.965,0.00265,7.6833
0.965,0.00266,8.26734
0.965,0.00267,8.86411
0.965,0.00268,9.48205
0.965,0.00269,10.1219
0.965,0.0027,10.7836
0.965,0.00271,11.4672
0.965,0.00272,12.1728
0.965,0.00273,12.9003
0.965,0.00274,13.6497
0.965,0.00275,14.4211
0.965,0.00276,15.2144
0.965,0.00277,16.0298
0.965,0.00278,16.8671
0.965,0.00279,17.7264
0.965,0.0028,18.6076
0.97,0.002,14.1006
0.97,0.00201,13.3841
0.97,0.00202,12.685
0.97,0.00203,12.0035
0.97,0.00204,11.3398
0.97,0.00205,10.6939
0.97,0.00206,10.0662
0.97,0.00207,9.45659
0.97,0.00208,8.86539
0.97,0.00209,8.29271
0.97,0.0021,7.73868
0.97,0.00211,7.20344
0.97,0.00212,6.68562
0.97,0.00213,6.18594
0.97,0.00214,5.70529
0.97,0.00215,5.24381
0.97,0.00216,4.8016
0.97,0.00217,4.3788
0.97,0.00218,3.97551
0.97,0.00219,3.59185
0.97,0.0022,3.22793
0.97,0.00221,2.88387
0.97,0.00222,2.55977
0.97,0.00223,2.25572
0.97,0.00224,1.97204
0.97,0.00225,1.70993
0.97,0.00226,1.46807
0.97,0.00227,1.24653
0.97,0.00228,1.04542
0.97,0.00229,0.864886
0.97,0.0023,0.705004
0.97,0.00231,0.565815
0.97,0.00232,0.447407
0.97,0.00233,0.34986
0.97,0.00234,0.273257
0.97,0.00235,0.217676
0.97,0.00236,0.183192
0.97,0.00237,0.16988
0.97,0.00238,0.171398
0.97,0.00239,0.193244
0.97,0.0024,0.236501
0.97,0.00241,0.30123
0.97,0.00242,0.387486
0.97,0.00243,0.495322
0.97,0.00244,0.624787
0.97,0.00245,0.775929
0.97,0.00246,0.948792
0.97,0.00247,1.14342
0.97,0.00248,1.35984
0.97,0.00249,1.5981
0.97,0.0025,1.85823
0.97,0.00251,2.14026
0.97,0.00252,2.4428
0.97,0.00253,2.767
0.97,0.00254,3.11321
0.97,0.00255,3.48144
0.97,0.00256,3.87173
0.97,0.00257,4.28409
0.97,0.00258,4.71852
0.97,0.00259,5.17506
0.97,0.0026,5.6537
0.97,0.00261,6.15446
0.97,0.00262,6.67736
0.97,0.00263,7.2224
0.97,0.00264,7.7896
0.97,0.00265,8.37895
0.97,0.00266,8.99048
0.97,0.00267,9.61486
0.97,0.00268,10.2607
0.97,0.00269,10.9288
0.97,0.0027,11.6191
0.97,0.00271,12.3317
0.97,0.00272,13.0666
0.97,0.00273,13.8237
0.97,0.00274,14.6031
0.97,0.00275,15.4048
0.97,0.00276,16.2289
0.97,0.00277,17.0753
0.97,0.00278,17.944
0.97,0.00279,18.8351
0.97,0.0028,19.7486
0.975,0.002,13.7017
0.975,0.00201,12.9933
0.975,0.00202,12.3025
0.975,0.00203,11.6296
0.975,0.00204,10.9747
0.975,0.00205,10.338
0.975,0.00206,9.71974
0.975,0.00207,9.11996
0.975,0.00208,8.53884
0.975,0.00209,7.97654
0.975,0.0021,7.43319
0.975,0.00211,6.90894
0.975,0.00212,6.40234
0.975,0.00213,5.91413
0.975,0.00214,5.44526
0.975,0.00215,4.99585
0.975,0.00216,4.56603
0.975,0.00217,4.15592
0.975,0.00218,3.76562
0.975,0.00219,3.39525
0.975,0.0022,3.04493
0.975,0.00221,2.71478
0.975,0.00222,2.40489
0.975,0.00223,2.11535
0.975,0.00224,1.8465
0.975,0.00225,1.5995
0.975,0.00226,1.37305
0.975,0.00227,1.16724
0.975,0.00228,0.982193
0.975,0.00229,0.818045
0.975,0.0023,0.674825
0.975,0.00231,0.552615
0.975,0.00232,0.451502
0.975,0.00233,0.371569
0.975,0.00234,0.312901
0.975,0.00235,0.275576
0.975,0.00236,0.259674
0.975,0.00237,0.265268
0.975,0.00238,0.285923
0.975,0.00239,0.327217
0.975,0.0024,0.390252
0.975,0.00241,0.475089
0.975,0.00242,0.581784
0.975,0.00243,0.710391
0.975,0.00244,0.860961
0.975,0.00245,1.03354
0.975,0.00246,1.22817
0.975,0.00247,1.4449
0.975,0.00248,1.68376
0.975,0.00249,1.9448
0.975,0.0025,2.22803
0.975,0.00251,2.5335
0.975,0.00252,2.85977
0.975,0.00253,3.20802
0.975,0.00254,3.57862
0.975,0.00255,3.97157
0.975,0.00256,4.38691
0.975,0.00257,4.82465
0.975,0.00258,5.2848
0.975,0.00259,5.76738
0.975,0.0026,6.2724
0.975,0.00261,6.79987
0.975,0.00262,7.34981
0.975,0.00263,7.92222
0.975,0.00264,8.51713
0.975,0.00265,9.13453
0.975,0.00266,9.77444
0.975,0.00267,10.4273
0.975,0.00268,11.102
0.975,0.00269,11.7993
0.975,0.0027,12.5192
0.975,0.00271,13.2616
0.975,0.00272,14.0267
0.975,0.00273,14.8144
0.975,0.00274,15.6248
0.975,0.00275,16.4579
0.975,0.00276,17.3137
0.975,0.00277,18.1921
0.975,0.00278,19.0933
0.975,0.00279,20.0172
0.975,0.0028,20.9639
0.98,0.002,13.3237
0.98,0.00201,12.6236
0.98,0.00202,11.9415
0.98,0.00203,11.2776
0.98,0.00204,10.632
0.98,0.00205,10.0049
0.98,0.00206,9.39648
0.98,0.00207,8.8069
0.98,0.00208,8.23629
0.98,0.00209,7.68481
0.98,0.0021,7.1526
0.98,0.00211,6.63979
0.98,0.00212,6.14487
0.98,0.00213,5.66861
0.98,0.00214,5.21201
0.98,0.00215,4.77517
0.98,0.00216,4.35824
0.98,0.00217,3.96132
0.98,0.00218,3.58453
0.98,0.00219,3.22799
0.98,0.0022,2.8918
0.98,0.00221,2.5761
0.98,0.00222,2.28097
0.98,0.00223,2.0065
0.98,0.00224,1.75304
0.98,0.00225,1.52172
0.98,0.00226,1.31126
0.98,0.00227,1.12177
0.98,0.00228,0.953412
0.98,0.00229,0.806222
0.98,0.0023,0.680275
0.98,0.00231,0.575661
0.98,0.00232,0.492468
0.98,0.00233,0.430785
0.98,0.00234,0.390695
0.98,0.00235,0.37228
0.98,0.00236,0.375621
0.98,0.00237,0.400795
0.98,0.00238,0.441266
0.98,0.00239,0.502698
0.98,0.0024,0.586212
0.98,0.00241,0.691869
0.98,0.00242,0.819726
0.98,0.00243,0.969837
0.98,0.00244,1.14225
0.98,0.00245,1.33703
0.98,0.00246,1.5542
0.98,0.00247,1.79381
0.98,0.00248,2.05589
0.98,0.00249,2.3405
0.98,0.0025,2.64765
0.98,0.00251,2.97737
0.98,0.00252,3.32821
0.98,0.00253,3.70136
0.98,0.00254,4.09719
0.98,0.00255,4.51572
0.98,0.00256,4.95698
0.98,0.00257,5.42098
0.98,0.00258,5.90773
0.98,0.00259,6.41725
0.98,0.0026,6.94955
0.98,0.00261,7.50464
0.98,0.00262,8.08254
0.98,0.00263,8.68326
0.98,0.00264,9.30681
0.98,0.00265,9.95321
0.98,0.00266,10.6225
0.98,0.00267,11.3048
0.98,0.00268,12.0093
0.98,0.00269,12.7368
0.98,0.0027,13.4871
0.98,0.00271,14.2605
0.98,0.00272,15.0568
0.98,0.00273,15.8762
0.98,0.00274,16.7186
0.98,0.00275,17.584
0.98,0.00276,18.4725
0.98,0.00277,19.3841
0.98,0.00278,20.3189
0.98,0.00279,21.2767
0.98,0.0028,22.2576
0.985,0.002,12.9672
0.985,0.00201,12.2759
0.985,0.00202,11.6028
0.985,0.00203,10.9482
0.985,0.00204,10.3123
0.985,0.00205,9.69527
0.985,0.00206,9.09718
0.985,0.00207,8.51825
0.985,0.00208,7.95861
0.985,0.00209,7.41843
0.985,0.0021,6.89783
0.985,0.00211,6.39695
0.985,0.00212,5.91421
0.985,0.00213,5.45041
0.985,0.00214,5.00659
0.985,0.00215,4.58286
0.985,0.00216,4.17935
0.985,0.00217,3.79617
0.985,0.00218,3.43345
0.985,0.00219,3.09129
0.985,0.0022,2.76981
0.985,0.00221,2.46913
0.985,0.00222,2.18934
0.985,0.00223,1.93054
0.985,0.00224,1.69308
0.985,0.00225,1.47805
0.985,0.00226,1.28421
0.985,0.00227,1.11169
0.985,0.00228,0.960617
0.985,0.00229,0.831017
0.985,0.0023,0.72299
0.985,0.00231,0.636628
0.985,0.00232,0.572023
0.985,0.00233,0.529262
0.985,0.00234,0.508435
0.985,0.00235,0.509624
0.985,0.00236,0.532913
0.985,0.00237,0.578381
0.985,0.00238,0.639393
0.985,0.00239,0.7217
0.985,0.0024,0.82644
0.985,0.00241,0.953675
0.985,0.00242,1.10347
0.985,0.00243,1.27587
0.985,0.00244,1.47093
0.985,0.00245,1.6887
0.985,0.00246,1.92923
0.985,0.00247,2.19256
0.985,0.00248,2.47872
0.985,0.00249,2.78775
0.985,0.0025,3.11969
0.985,0.00251,3.47456
0.985,0.00252,3.85085
0.985,0.00253,4.2498
0.985,0.00254,4.67179
0.985,0.00255,5.11683
0.985,0.00256,5.58495
0.985,0.00257,6.07615
0.985,0.00258,6.59045
0.985,0.00259,7.12788
0.985,0.0026,7.68844
0.985,0.00261,8.27213
0.985,0.00262,8.87899
0.985,0.00263,9.50902
0.985,0.00264,10.1622
0.985,0.00265,10.8386
0.985,0.00266,11.5383
0.985,0.00267,12.2511
0.985,0.00268,12.9865
0.985,0.00269,13.7451
0.985,0.0027,14.5271
0.985,0.00271,15.3324
0.985,0.00272,16.1611
0.985,0.00273,17.0132
0.985,0.00274,17.8887
0.985,0.00275,18.7876
0.985,0.00276,19.71
0.985,0.00277,20.6559
0.985,0.00278,21.6253
0.985,0.00279,22.6181
0.985,0.0028,23.6345
0.99,0.002,12.6329
0.99,0.00201,11.9507
0.99,0.00202,11.2872
0.99,0.00203,10.6424
0.99,0.00204,10.0166
0.99,0.00205,9.41002
0.99,0.00206,8.82273
0.99,0.00207,8.25493
0.99,0.00208,7.70675
0.99,0.00209,7.17836
0.99,0.0021,6.66989
0.99,0.00211,6.18148
0.99,0.00212,5.71145
0.99,0.00213,5.26066
0.99,0.00214,4.83017
0.99,0.00215,4.42011
0.99,0.00216,4.0306
0.99,0.00217,3.66176
0.99,0.00218,3.3137
0.99,0.00219,2.98653
0.99,0.0022,2.68037
0.99,0.00221,2.39534
0.99,0.00222,2.13152
0.99,0.00223,1.88903
0.99,0.00224,1.66821
0.99,0.00225,1.47012
0.99,0.00226,1.29356
0.99,0.00227,1.1387
0.99,0.00228,1.00556
0.99,0.00229,0.894233
0.99,0.0023,0.804816
0.99,0.00231,0.737406
0.99,0.00232,0.692096
0.99,0.00233,0.668978
0.99,0.00234,0.668143
0.99,0.00235,0.689677
0.99,0.00236,0.733666
0.99,0.00237,0.800194
0.99,0.00238,0.882521
0.99,0.00239,0.98649
0.99,0.0024,1.11326
0.99,0.00241,1.26289
0.99,0.00242,1.43544
0.99,0.00243,1.63097
0.99,0.00244,1.84954
0.99,0.00245,2.09119
0.99,0.00246,2.35597
0.99,0.00247,2.64391
0.99,0.00248,2.95507
0.99,0.00249,3.28946
0.99,0.0025,3.64713
0.99,0.00251,4.0281
0.99,0.00252,4.43083
0.99,0.00253,4.85656
0.99,0.00254,5.3057
0.99,0.00255,5.77826
0.99,0.00256,6.27425
0.99,0.00257,6.79369
0.99,0.00258,7.33659
0.99,0.00259,7.90297
0.99,0.0026,8.49285
0.99,0.00261,9.10622
0.99,0.00262,9.74311
0.99,0.00263,10.4035
0.99,0.00264,11.0875
0.99,0.00265,11.795
0.99,0.00266,12.5261
0.99,0.00267,13.2706
0.99,0.00268,14.0379
0.99,0.00269,14.8289
0.99,0.0027,15.6436
0.99,0.00271,16.482
0.99,0.00272,17.3442
0.99,0.00273,18.2302
0.99,0.00274,19.14
0.99,0.00275,20.0736
0.99,0.00276,21.0311
0.99,0.00277,22.0125
0.99,0.00278,23.0177
0.99,0.00279,24.0468
0.99,0.0028,25.102
0.995,0.002,12.3217
0.995,0.00201,11.6491
0.995,0.00202,10.9955
0.995,0.00203,10.3609
0.995,0.00204,9.74578
0.995,0.00205,9.15011
0.995,0.00206,8.57412
0.995,0.00207,8.01795
0.995,0.00208,7.48177
0.995,0.00209,6.96571
0.995,0.0021,6.46992
0.995,0.00211,5.99454
0.995,0.00212,5.53781
0.995,0.00213,5.10062
0.995,0.00214,4.68407
0.995,0.00215,4.2883
0.995,0.00216,3.91342
0.995,0.00217,3.55954
0.995,0.00218,3.22679
0.995,0.00219,2.91526
0.995,0.0022,2.62509
0.995,0.00221,2.35637
0.995,0.00222,2.10921
0.995,0.00223,1.88372
0.995,0.00224,1.68022
0.995,0.00225,1.49978
0.995,0.00226,1.34126
0.995,0.00227,1.20472
0.995,0.00228,1.09024
0.995,0.00229,0.997917
0.995,0.0023,0.927851
0.995,0.00231,0.880142
0.995,0.00232,0.854887
0.995,0.00233,0.852181
0.995,0.00234,0.872119
0.995,0.00235,0.914792
0.995,0.00236,0.980289
0.995,0.00237,1.0687
0.995,0.00238,1.17317
0.995,0.00239,1.29965
0.995,0.0024,1.44931
0.995,0.00241,1.62221
0.995,0.00242,1.81842
0.995,0.00243,2.03801
0.995,0.00244,2.28101
0.995,0.00245,2.54749
0.995,0.00246,2.83748
0.995,0.00247,3.15103
0.995,0.00248,3.48818
0.995,0.00249,3.84896
0.995,0.0025,4.2334
0.995,0.00251,4.64153
0.995,0.00252,5.07175
0.995,0.00253,5.52535
0.995,0.00254,6.00273
0.995,0.00255,6.50391
0.995,0.00256,7.0289
0.995,0.00257,7.57771
0.995,0.00258,8.15036
0.995,0.00259,8.74685
0.995,0.0026,9.36719
0.995,0.00261,10.0114
0.995,0.00262,10.6795
0.995,0.00263,11.3715
0.995,0.00264,12.0874
0.995,0.00265,12.8272
0.995,0.00266,13.591
0.995,0.00267,14.3683
0.995,0.00268,15.1688
0.995,0.00269,15.9934
0.995,0.0027,16.8421
0.995,0.00271,17.7149
0.995,0.00272,18.6118
0.995,0.00273,19.5329
0.995,0.00274,20.4783
0.995,0.00275,21.4479
0.995,0.00276,22.4417
0.995,0.00277,23.4598
0.995,0.00278,24.5023
0.995,0.00279,25.5715
0.995,0.0028,26.6688
1,0.002,12.0344
1,0.00201,11.3719
1,0.00202,10.7286
1,0.00203,10.1048
1,0.00204,9.50077
1,0.00205,8.91658
1,0.00206,8.35241
1,0.00207,7.80845
1,0.00208,7.28482
1,0.00209,6.78169
1,0.0021,6.29919
1,0.00211,5.83747
1,0.00212,5.39467
1,0.00213,4.97172
1,0.00214,4.56978
1,0.00215,4.18897
1,0.00216,3.8294
1,0.00217,3.49118
1,0.00218,3.17444
1,0.00219,2.87927
1,0.0022,2.6058
1,0.00221,2.35414
1,0.00222,2.12437
1,0.00223,1.91663
1,0.00224,1.73121
1,0.00225,1.56921
1,0.00226,1.42945
1,0.00227,1.312
1,0.00228,1.21696
1,0.00229,1.14443
1,0.0023,1.09451
1,0.00231,1.06731
1,0.00232,1.06293
1,0.00233,1.08146
1,0.00234,1.12301
1,0.00235,1.18768
1,0.00236,1.27555
1,0.00237,1.38672
1,0.00238,1.51425
1,0.00239,1.66415
1,0.0024,1.83764
1,0.00241,2.03478
1,0.00242,2.25563
1,0.00243,2.50026
1,0.00244,2.76872
1,0.00245,3.06106
1,0.00246,3.37734
1,0.00247,3.71758
1,0.00248,4.08183
1,0.00249,4.47013
1,0.0025,4.88249
1,0.00251,5.31894
1,0.00252,5.77785
1,0.00253,6.26052
1,0.00254,6.76737
1,0.00255,7.29841
1,0.00256,7.85364
1,0.00257,8.43308
1,0.00258,9.03673
1,0.00259,9.66461
1,0.0026,10.3167
1,0.00261,10.9931
1,0.00262,11.6937
1,0.00263,12.4186
1,0.00264,13.1677
1,0.00265,13.9412
1,0.00266,14.739
1,0.00267,15.5504
1,0.00268,16.3855
1,0.00269,17.2449
1,0.0027,18.1289
1,0.00271,19.0374
1,0.00272,19.9704
1,0.00273,20.928
1,0.00274,21.9103
1,0.00275,22.9172
1,0.00276,23.9488
1,0.00277,25.0051
1,0.00278,26.089
1,0.00279,27.2014
1,0.0028,28.3424
